Beer,Username,Location,Rating,Review,Date
Kentucky Brunch Brand Stout,,New York,5/5,Had a big share and this was by far the best stout,"Feb 05, 2022"
Kentucky Brunch Brand Stout,,Ohio,4.73/5,"Look - fantastic black and thick with a great tan head
Smell - maple and barrel
Taste - great maple coffee barrel taste 
Feel - full body creamy light carb
Overall - incredible but for the hype, to much maple","Jan 21, 2022"
Kentucky Brunch Brand Stout,,Oklahoma,4.96/5,"Initial nose is beautiful maple! The taste is nice barrel, maple, coffee and chocolate. This is very rich and overall deserving of the high ratings. The only slight knock on this beer is viscosity.","Jan 10, 2022"
Kentucky Brunch Brand Stout,,New Jersey,4.23/5,"A: Nightfall in appearance that presents a class, of shades, within the Bearded Iris: Before the Storm. Though, the arriving predominance peers to schemes of an Ayam Cemani, with dyed allocations on provoked (methodical) discharges. Inasmuch as, light charcoal to the late reposed tones of a Cayuga Duck, given the dark purple to aerated grey-green exhales. In conjunction, a fallow headpiece that’s brief in withstanding preservation. Yet, justifiably well-designed, as the accents address the Beaver toned collapse with a Dutch white lip. There is minimal adherence upon the necks fold, as that portrayal comes in balmy, goaded strides. Notwithstanding, the thermal development behind tack-distilled tears, for adequately webbing church windows. To that extent, a multi-layered scene that’s deep for optimization with each intermission 

S: Malt is put into motion and characterized by the sweet/rich lexicons with a thick trek for pure maple, as a slight roasted bite aids in dimension. Thereby, ushering in dark chocolate on sticky toffee, while puck tamping a quad-sized shot in back. There’s a pastiness in the peripheral that fastens the bourbon adhesion to coffee beans. Coupled with, an aerated basecoat for raisin molasses gems, while strolling cold deciduous forests, as red maple and birch bark circumference pine resin. The barrel interiors coat figs and prunes beneath, while malt soothes midriffs above, before synergizing cask complexions. Accordingly, a caramel crème brûlée middle with a touch of frangipane/hazelnut praline, while the blend puts notice on vanilla oak staves. The furtherance becomes rightly victimized, by the prolonged exposure, where opportunities pit meaty leather to spice-pipe tobacco, as marshmallow fondant faints to the barreled derived coconut. This progresses to sawn wood, from the recoiled temperate woodlands, as a balminess curbs brandy to the dried fruit shifts and hard Chimes. In the interim, an oak sediment lingers with a dry hop bite amongst ricocheting malt, as bourbon pitches flat densities to the rhythm behind (soft) tannins

T: A proactive start on clean maple that measures a light bourbon dictation against roasted grains, as esters serenely interweave. The blend fondues oak atop Barhi Dates and Pain aux raisins, while summersaulting around prunes, before paying heed to Lemberger grapes. That aside, foretaste is mainly situated on rich Ganache over maple poffertjes, as a robust earthiness tends juneberries to dark rosin cascades. Mid-palate opens malt to bready dexterities with reacting nuts/walnuts, in the act of a polymer coalescence. Chiefly, a league for barrel mechanics besides toasted grains, as the equidistant hovers around caramelized toffee and chocolate cordials. In a prolonged/timely struggle, the progression veers off of fudge fondant for more complex - wooded - polymers set to vanillin staves, and oaked-smoked book shelves. Moreover, a greenhouse effect that becomes prevalent in the orchestration of deferred intervals. In light of oxygenating restfully across the hours, the blend incriminates Bual, from Madeira regions, and suggests charred figs with dried marzipan. In turn, a distantly placed roasted bite to the inclining warming degree, as the blend’s anatomy codas tarry skins with Mozhee extractions

M: A level of fatness that’s rich in fluidity, for levying a smooth, composited viscosity. The mechanics attend carbonation cautiously, by truncating the spectrum, for warming coordination behind that semi-tamed glueyness. Such factors roadmap a weighing scale, as vitrics breath open air, and course a drying constitute. In passing, the approach offers an adhesiveness without taxing saccharinity, while protracting an earthly bite to waddle an exsiccation with light (caustic) tannin physiques

O: The framework provides a eurythmic nature on maple, with a backing around barrel warmth and an elusive sense to earthy livelihoods. In centering agenda, the woody hop influence remains docile to the gravity behind malts blended depth, yet prompts in for balance and refines ester institution on clocked time. Consequently, forest fruits and backwoods are shrouded, by a tug-of-war sense of heft, but consciously linger with a palate fondness in step","Jan 01, 2022"
Kentucky Brunch Brand Stout,,Indiana,4.64/5,Thanks for the pour Azuelke!,"Dec 30, 2021"
Kentucky Brunch Brand Stout,,Nevada,4.59/5,Lots of maple and coffee notes. Mild barrel presence.,"Dec 29, 2021"
Kentucky Brunch Brand Stout,,Utah,4.49/5,"Draft pour at TG. 

Pitch black with no head. Not too thick. At the nose is heavy maple with some coffee. I didn’t really pick up any barrels though. The taste is likewise the same, heavy maple with coffee and chocolate. Very little barrel as it warmed. Medium bodied, perfect carbonation. Not too thin nor too thick. Overall: a standard BA breakfast stout. Great beer overall but over hyped with ridiculous pricing. Glad I had a draft pour which cost less per oz than the bottle. It seems to me it’s almost the same as Mornin Delight.","Nov 06, 2021"
Kentucky Brunch Brand Stout,,Pennsylvania,4.87/5,"2020 vintage drank 10/22/21
Incredible smell as soon as bottle was opened. Rich maple, chocolate, syrup breakfast in a glass. Incredibly smooth. Not a ton of bourbon flavor, and no alcohol burn. Not as thick as some TG stouts like assassin, but still an incredible beer and glad I chased it. Definitely one of the best","Oct 23, 2021"
Kentucky Brunch Brand Stout,,Wisconsin,5/5,2020 vintage acquired during the pandemic. It was everything I'd hoped it would be and worth the drive to track it down. Wonderful aroma and such a smooth taste. Very few live up to the hype but this one did.,"Oct 13, 2021"
Kentucky Brunch Brand Stout,,North Carolina,5/5,There isn’t a better stout put there! See my Untappd @c b for full review and picture.,"Aug 26, 2021"
Kentucky Brunch Brand Stout,,Texas,4.56/5,"Long time waiting to tick this one, and I have to say - pretty underwhelmed. Its delicious as far as maple syrup goes, but overall it was lacking in complexity. Barrel was light and not much else. Nice mouth feel and long finish.","Aug 12, 2021"
Kentucky Brunch Brand Stout,,Iowa,5/5,"This review is for the 2019 batch. It was bottle number 43, tasted as part of a dinner at Toppling Goliath. Poured as dinner was served, thick and almost black, allowed to warm and enjoyed as dessert. On the nose, bourbon and maple syrup. Thick mouth-feel, and full of flavor. I have had the 2020 version on tap, so comparing the two is difficult, however I think the 2019 aged nicely and was, in my opinion, the better of the two.","May 12, 2021"
Kentucky Brunch Brand Stout,,California,1/5,Thick and overrated typical white trash. Dont trade for this. Ferment maple syrup and you get the same result.,"Apr 24, 2021"
Kentucky Brunch Brand Stout,,Norway,5/5,"Supreme maple OD! Soooo easy drinking & well-tasty. History in the making when finally scoring this one! (for the record, tried both 2019 and 2020 at the same time, the latter one being the best... I think)","Apr 20, 2021"
Kentucky Brunch Brand Stout,,Minnesota,5/5,"I have now had 4 different years of KBBS and continue to feel this beer is in a realm of its own. The look is as dark as burnt motor oil. The smell is filled with maple, coffee, bourbon, and stout. Outside of 2020 the taste is super sticky with a huge mouth feel. 

I would say I rate 2018 as being the best year followed by 2019, then 2018, and I would rate 2020 last.","Feb 19, 2021"
Vanilla Bean Assassin,,Pennsylvania,4.86/5,"12oz bottle…2022 version. Drank 12/25/22.
Pours dark brown/black, not much carbonation. Smells of sweet chocolate, vanilla, and barrel. Taste is marshmallows soaked in bourbon. Perfect sweetness. If there is a knock it’s slightly on the thin side, but that’s being picky. Probably the best adjunct stout I’ve had. Truly lives up to the hype.","Dec 25, 2022"
Vanilla Bean Assassin,,Minnesota,5/5,2022 version sample from a snifter at Toppling Goliath during Assassin release on 9/12/2022. The strong vanilla aroma and taste along with the viscosity make this beer about as good as it gets for me.,"Oct 14, 2022"
Vanilla Bean Assassin,,Florida,4.45/5,"Bottle, graciously shared by Clark at Peg’s. Dark brown pour with a light brown head. Inviting vanilla bean and coco puff aromas. Sweet with delicious vanilla, rich caramel, decadent chocolate, and woody notes. Some heat from the whiskey, but not overwhelming. More of a backbeat really. Doesn’t drink like a 12%er. Smooth, but complex with a very good mouthfeel and body. Bravo......","May 15, 2022"
Vanilla Bean Assassin,,New Jersey,4.68/5,"Unofficially my last beer of the top 250 (had the trade secured for it before changes were made to calculations, making me 20 short again...)

It glugs out of the bottle super thick and tar black. It has a finger and a half head of tight, thick khaki bubbles that recedes slowly to a thin film and collar that retain throughout. Leaves some nice legs on the glass when swirled.

Immediate strong aromas of boozy bourbon are softened by sweet vanilla and lightly toasted marshmallow. Fudgey brownie batter, brown sugar, molasses, caramel, toasted coconut, and charred oak all follow. There's just a hint of figs linger in the background.

The flavor is quite bourbon forward, but very round and smooth. It's like a scoop of real vanilla bean ice cream topped with burnt caramel, artisan fudge, and a shot of high end bourbon. Nothing pops much except maybe the bourbon, but this is quite well balanced.

The mouth feel is thick, but not overly so. It's slick and coats the mouth well, lingering and begging you to take another sip. Just the right amount (only a touch) of carbonation, and a bone dry, slightly boozy finish. Superb!

Overall this is an absolute pleasure of a beer to drink, and a worthy one for my ""last"" of the 250 list! It doesn't blow me away in the flavor department, but it does in its balance and roundedness! Those are things hard to find in modern BA adjunct stouts! The fact that I could EASILY solo dome this bottle says something!","Jan 13, 2022"
Vanilla Bean Assassin,,Florida,5/5,"As far as vanilla barrel ages stouts go, it is hard to name a better one than this. Very sweet, but just short of cloying. The huge fudge notes blend perfectly with that intense vanilla marshmallow presence. Don't miss out on this one if you have a chance to get some!","Dec 13, 2021"
Vanilla Bean Assassin,,Nebraska,4.69/5,2019 bottle,"May 10, 2021"
Vanilla Bean Assassin,,Alaska,4.89/5,"2019 bottle at room temp
Wax was a big of a bugger

Inky black with a small beige head, not much carbonation. 
Vanilla brownie batter aroma, some heat. Bourbon secondary 
Not much bitterness or roast, plenty of barrel and vanilla. 
High viscosity motor oil bordering on chewy.","Apr 10, 2021"
Vanilla Bean Assassin,,California,4.51/5,"#248 of Top 250 (as of 3/11/21) thanks to Orca Whale

L: Motor oi black, small tan head

S: Deep barrel and only a bit of vanilla, which is surprising. 

T: Tobacco, vanilla, decent amount of barrel. Good stout with vanilla without the vanilla over taking

F: Thick and heavy mouthfeel

O: A great, but not perfect BA Vanilla stout, happy ot have finally ticked this one.","Mar 14, 2021"
Vanilla Bean Assassin,,New York,4.71/5,Vintage 2020,"Mar 11, 2021"
Vanilla Bean Assassin,,Minnesota,4.75/5,"2013 vintage, tasted on 5/12/2020 - startled by how cakey that is. Super rich and thick body, a load of vanilla and chocolate. Light barrel and whiskey. Super pleasantly balanced, though definitely not a beer I could enjoy more than just a taste of. Novelty pastry juice for real - still, quite tasty.","Jan 25, 2021"
Vanilla Bean Assassin,,Iowa,4.92/5,"Tasted this in a flight at the brewery on Jan 7th 2021first time ever tasting Assassin drove 4 hours because this was on tap. I had half a pour in the afternoon at 5 last of it as the keg blew.
It is a fudge vanilla cake like flavor. The depth of the flavor was incredible. I arrived at 11:30 and took tell two to finish the flight. As this warmed and oxidized the aroma subsided as expected but the flavor just developed more chocolate cake. Outstanding and worth the trip to finally taste this. I had Morning Delight and Term Oil Maple Cakes in the same flight plus the two Latte's. Best flight of my life.
Truly wonderful beer.","Jan 20, 2021"
Vanilla Bean Assassin,,Iowa,5/5,"Only KBBS16 is better.

Vanilla, caramel/chocolate, bourbon, roast. Thic yet approachable. Perfection! This is one of a few beers that actually keep me wanting more.","Jan 20, 2021"
Vanilla Bean Assassin,,Illinois,5/5,"Let’s be honest, when it comes to vanilla specific barrel aged stouts this sits comes unrivaled. I dream of finding a D13, but until that day. This is perfection.","Jan 17, 2021"
Vanilla Bean Assassin,,Arizona,5/5,Might be the best beer I've ever had.,"Jan 16, 2021"
Vanilla Bean Assassin,,Massachusetts,4.71/5,"Almost perfect when it comes to BA vanilla stouts. This looked insanely pitch black during the pour. Completely opaque. Smelled of bourbon soaked vanilla fudge brownies. Really decadent. Taste was amazing....very similar to the aroma. Vanilla wasn't overbearing and really played well with the fudginess and barrel aspects of the beer. Feel was super viscous. Mouth coating and lingering. Overall, an excellent BA vanilla stout.","Jan 15, 2021"
Vanilla Bean Assassin,,Iowa,5/5,2019 vintage on tap at TG over 2020 KBBS release weekend,"Jan 07, 2021"
Vanilla Bean Assassin,,Illinois,4.72/5,"2019 vintage, on draft at Toppling Goliath.

I had this along with a draft pour of KBBS at the same time. The VB Assassin is definitely a lot different than KBBS, besides the adjuncts obviously. VB Assassin was pitch black with a bit of foam around the edge of glass. Aroma had loads of vanilla along with bourbon booze a bit maybe. The flavor was soft vanilla all the way with a bit of that now common Assassin dark fruit flavor serving as base underneath the vanilla goodness. Bit of chocolate-like flavors here too. Thick for sure though! Flavors linger for a while.","Dec 05, 2020"
Vanilla Bean Assassin,,Illinois,4.77/5,"2019 vintage poured from a 12oz bottle into a stemmed taster glass. pours inky black with virtually no head. smells of chocolate cake with vanilla frosting dipped in bourbon. one of the best smelling beers i’ve yet to encounter. taste is similar with big chocolate cake and vanilla flavors with the whiskey barrel on the finish. typical TG stout mouthfeel, which is to say full bodied and nearly perfect for the style. i am admittedly not a big straight vanilla stout guy but i was blown away with this beer. the vanilla is integrated so well that i don’t pick up on the dark fruit flavors that i’ve gotten with past assassins (purple through green). this is vanilla frosted bourbon cake in a glass. delicious!","Sep 02, 2020"
Vanilla Bean Assassin,,Minnesota,4.9/5,"2019 Vintage. Black color. Tan head. Thick. This is decadent! Fudge chocolate cake. BlackBerry. All the nilla. All the bourbon. Oaky. Rich, desserty. Faint roast. Perfect.

Full bodied. Thick and rich. Absolutely amazing bottle.
-
2022 on tap. So smooth, vanilla, chocolate cake batter, brownies, fudge, oak, bourbon, chocolate. Sweet, but not cloying, not pasty. This is fantastic. 4.7","Aug 10, 2020"
Vanilla Bean Assassin,,Idaho,4.65/5,"12 oz bottle at share. Slick, oily pour. Super smooth. Boozy, chocolate, vanilla, roast, all blended to perfecton. Sweet, slick with a slight burn. Top notch.","Jun 13, 2020"
Vanilla Bean Assassin,,Indiana,4.96/5,Bottle given to me by Clark. This and brandy vanilla dark lord are the two best stouts I have ever had. Thanks @tgchief,"Sep 21, 2019"
Vanilla Bean Assassin,,Belgium,5/5,09/01/17 full TG lineup tasting. This was always going to be the highlight but it did not disappoint. Hands down the best vanilla beer ever made and top 3 overall.,"Sep 04, 2017"
Vanilla Bean Assassin,,Pennsylvania,4.85/5,"What an incredible treat, thanks to a very generous friend and BA! Was nervous opening such a rare bottle and the wax hardened into almost brittle plastic. Poured rather thick. Vanilla hits you like a truck on the nose. Tasted like lightly sweet vanilla ice cream with chocolate. Had it side by side with a '14 Assassin and an SR71, but all 3 were very different even though the base is the same.","Nov 19, 2015"
Vanilla Bean Assassin,,Iowa,5/5,"It is simply not possible to make a ""better"" beer than this. Some beers may be different, others may prefer different style, but none can be better. Perfection for what it is .","May 01, 2015"
Vanilla Bean Assassin,,Missouri,4.84/5,"This was opened at Perennial today and drank with KBBS, BA Abraxas, and Fuzzy. Small 2-3 oz pour from the 12oz 2013 vintage bottle into a snifter.

A - Dark obviously like every other solid stout out there with decent lacing. Looks thick and vicious in appearance and definitely stains the glass.

S - Small notes of vanilla with chocolate as well as light notes of whiskey. Hard to compare because I have not had regular assassin but smell is pretty damn good

T - Taste follows the nose although the vanilla is somewhat muted. It blends in with the milk and dark chocolate flavors that come through from the base. Definitely some hints of coffee in there and some bourbon on the finish although it is not that prevalent.

M - Mouthfeel is pretty thick and vicious, not as thick as KBBS and MD but it is definitely a thicker BA stout which I love

O - Glad I was lucky enough to get to try this along the KBBS and the other fine brews that were drank today. Thanks again Cory","Jun 06, 2014"
Marshmallow Handjee,,Ohio,5/5,09/11/23 draft @ Winking Lizard Canton,"Sep 11, 2023"
Marshmallow Handjee,,Massachusetts,4.6/5,"2022 vintage, bottle 1316/3500

Another milestone review, number 1800! I figured since I have the highest rated RIS on BA just sitting around that it would be a perfect time to break it out. This is my first of any Dark Lord variant, and I think it’s a damn good place to start for the series. Let’s pop this legend open and see what it has to offer

Pours almost completely pitch black with a finger of creamy tan head that fades to a thin cap and leaves minimal lacing

The roast is real in this one, but it’s wonderfully offset by the sweeter notes as well. I’m picking up on aromas of drip coffee, burnt caramel, dark toast, milk chocolate, tobacco, vanilla bean, molasses, toasted oak, fig, and light cinnamon

It’s similar in taste, but with even more of a depth, making this one hell of a complex beer. On the front end of the sip I’m tasting milk chocolate, vanilla bean, sweetened coffee, toasted oak, fig, maple syrup, burnt caramel, sweet bourbon, cinnamon, black cherry, and marshmallow. The swallow brings notes of milk chocolate, charred oak, maple syrup, burnt caramel, black cherry, fig, vanilla bean, allspice, sweet bourbon, marshmallow, dark toast, and tobacco

A medium body pairs with gentle carbonation, resulting in a smooth beer. Finishes mostly dry with just a touch of boozy heat

Oh yeah, this is amazing. Thankfully a beer that lives up to the hype. Maybe one day I’ll splurge on another bottle","Jul 28, 2023"
Marshmallow Handjee,,Texas,4.86/5,"2019 bottle, purple sparkle wax. Pours black with minimal head, no retention. Nose rich vanilla, fruity with strawberry, graham cracker. Taste boozy, chocolate, toasted marshmallow. Full body and minimal carbonation.","May 03, 2023"
Marshmallow Handjee,,Ukraine,4.42/5,2022 v.,"Jan 13, 2023"
Marshmallow Handjee,,Washington,5/5,"Had the yellow wax at a wedding dinner party. Vanilla/marsh overload, barrel was there, but mostly sweet. Pretty good","Nov 05, 2022"
Marshmallow Handjee,,Louisiana,4.59/5,2021 bottle - Share w John M in Denver.,"Oct 07, 2022"
Marshmallow Handjee,,Florida,4.43/5,"2020 Release 
#0590/1500
Drank during hurricane Ian in Orlando, Florida on September, 28th, 2022.","Sep 28, 2022"
Marshmallow Handjee,,Pennsylvania,4.34/5,"Midnight black with a dark mocha head. No real retention or lacing. 

Chocolate, vanilla and plum stand out most in the nose. I really enjoy the fruitiness behind what is some very strong brownie batter and vanilla.

The taste is pretty similar. Loads of vanilla without it seeming artificial. High quality brownie. Fruit complexity underneath. And lots of heat.

Oily slick feel with soft fizz.

Probably overhyped, but still very nicely done. The flavors are all intense without being over intense.","Jun 25, 2022"
Marshmallow Handjee,,Pennsylvania,4.83/5,"Just because it can't be perfect, I guess, but it's damn close.

L:I was looking for Marshmallow Handjee. Looked for awhile. Looks cool in the bottle and better in my wine glass.
S: Mmmmm - did I see it can't be perfect? The nose on this gem is as close as it gets. Before the characteristic Dark Lord depth, there is the vanilla-creamy-sweet-smores thing going. And that's just the easy part. The complex, fine barrel notes compete with the earthy black malts and I love every moment of the struggle. If oil came from barley, this would fuel jets.
T: No surprises because the smell telegraphs the taste like an amateur against Ali. More of the vanilla sweet cocoa gram up front followed by the bourbon twisted chocolate caramel espresso of a great stout. It's all here.
F: It's like chewing bubble gum that never gets boring nor loses its flavor. Heavy like the punch that aforementioned amateur caught on the jaw though. Sloooww sipper.
Overall this is how it's done. An adjunct stout is never my first choice but, when done right, you get something like this. I don't like it better than the straight up WWS or some of the other simple, three ingredient brews, but it is damn good.","May 07, 2022"
Marshmallow Handjee,,Missouri,4.64/5,"Pours black with a finger of khaki foam. Heavy oily legs form on the glass after a swirl. Aroma is marshmallow and brown sugary initially. This overt sugariness breaks away to reveal roasty and toasty malts with a hearty bitter edge. Underneath is bourbon and late barrel character, which further counteract the initial sugary notes. Flavor profile pushes the same start - marshmallow and brown sugar, in addition to toffee. As these start-up notes fade, hearty barrel, bourbon, and roasty and toasty malts are revealed. The latter hearty notes becomes the storyline the second half, countering the initial sugary notes well. Mouth feel is thick, with a velvety, smooth, and full texture. Overall, while the sugary start leads to a dangerous territory, the following malt and barrel notes balance the whole experience out well. 

Served from a 750mL bottle. Light blue wax. Allowed to warm ~45 minutes at room temperature after removal from the fridge. Reviewed from notes.","Apr 12, 2022"
Marshmallow Handjee,,Netherlands,4.9/5,"Been hunting a long time for this one and finally landed a 2019 bottle.
Remarkable how little this tastes like a regular Darklord. It's fairly sweet which i generally don't like, but the barrel presence compensates enough to make it really enjoyable. It delivers on all fronts with ton's of vanilla, chocolate notes and some heat from the barrel. It's also nice and thiccc.","Feb 17, 2022"
Marshmallow Handjee,,Ohio,4.81/5,"2020 in 2022. Also had the 2021 and very similar to 2020.
Look - fantastic thick black with a great thick tan head and big lacing.
Smell - roasty malt caramel barrel vanilla
Taste - fantastic vanilla marshmallow caramel woody barrel
Feel - full body creamy light carb
Overall - just incredible","Jan 21, 2022"
Marshmallow Handjee,,California,4.54/5,Bottle courtesy of JohnnyHops.,"Jan 08, 2022"
Marshmallow Handjee,,Kentucky,4.59/5,"Brewing pastry stouts before pastry stouts were cool, the imperial stout that Dark Lord used to be has trended sweeter, more sultry, heavier and stronger as time has passes. Now doubling down with a vanilla-riddled, bourbon barrel aged version of that notorious elixir has allowed time to finally catch up with it.

With a thick, oily and onyx looking pour, Marshmallow Hanjee shares barely a trickle of froth before falling still. As its decadent scent of vanilla drifts gently above its sweet and savory roast, the scent of espresso, cocoa and nuttiness permeates an oxidized aroma of sherry, port and soy. Devilishly sweet, the beer's early cloying nature saturates the early palate with molasses, sorghum, vanilla cream and all-things burnt marshmallows.

As the flavors roll along the middle palate, a full and lavish saturation of the tastebuds reveal bold complementary flavors of espresso, bittersweet chocolate, white chocolate, sweet wines and savory sherry, port and madeira. Hinting toward soy sauce, a late and whisky soaked taste of bourbon keeps the complex flavors of coconut, caramel, toasted oak and bourbon spice coming sip after sip.

Heavy, rich and undeniably cloying, the sipping ale is oily and warm on the palate, reserved as an after dinner digestif. A long, rich and fat maltiness clings to the mouth for an impossibly long and spicy aftertaste.","Dec 27, 2021"
Marshmallow Handjee,,California,4.57/5,"Like slow dancing with Aretha Franklin, this one has soul. Hot damn, I feel like I can lasso a T. rex. Uhhh huh, I can hurdle that St. Louis arc… 

Raul.Is.feeling.this.","Jun 26, 2021"
Marshmallow Handjee,,California,4.52/5,Vintage 2017. Consumed on 05/08/21.,"May 10, 2021"
Marshmallow Handjee,,Connecticut,5/5,Perfect mouthfeel. Marshmallow for days. Chewy and thick,"Jan 31, 2021"
Marshmallow Handjee,,Netherlands,4.78/5,"dec. 14, 2019
That was an awesome taste explosion. Big smell, beautifull mouthfeel. Bit on the sweet side, but in good balance with the barrel. Smooth and bit alcoholic in the end.","Jan 27, 2021"
